asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,23,假设检验,基础,选择,01,,pb_23_基础_选择_01_question.png,pb_23_基础_选择_01_solution.png,1
002,23,假设检验,基础,选择,02,,pb_23_基础_选择_02_question.png,pb_23_基础_选择_02_solution.png,1
003,23,假设检验,基础,填空,01,,pb_23_基础_填空_01_question.png,pb_23_基础_填空_01_solution.png,1
004,23,假设检验,基础,填空,02,,pb_23_基础_填空_02_question.png,pb_23_基础_填空_02_solution.png,1
005,23,假设检验,基础,解答,01,,pb_23_基础_解答_01_question.png,pb_23_基础_解答_01_solution_1.png;pb_23_基础_解答_01_solution_2.png,2
006,23,假设检验,基础,解答,02,,pb_23_基础_解答_02_question.png,pb_23_基础_解答_02_solution.png,1
